               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.04908,             0.01393,            0.012975,              0.7849,             0.47288,             0.50996,             0.21854,            0.049388,            0.010272,            0.015289,           0.0098324,           0.0098324,           0.0098324
                  63,            0.049409,            0.013533,             0.01334,             0.84842,             0.47795,             0.54129,             0.24166,            0.047263,            0.010114,            0.012012,           0.0098269,           0.0098269,           0.0098269
                  64,            0.048034,            0.013568,            0.013265,             0.86158,             0.46928,             0.53837,              0.2426,             0.04766,           0.0097665,            0.012891,           0.0098213,           0.0098213,           0.0098213
                  65,             0.04868,            0.013582,            0.012728,             0.83848,             0.48448,             0.54926,             0.24656,            0.046523,           0.0099969,            0.012679,           0.0098156,           0.0098156,           0.0098156
                  66,             0.04738,            0.013511,            0.011866,             0.80949,             0.47272,             0.50894,             0.22551,            0.045663,             0.01061,            0.015146,           0.0098099,           0.0098099,           0.0098099
                  67,            0.047351,            0.013819,            0.012306,             0.82289,             0.45294,             0.49513,             0.21698,            0.048177,            0.010123,            0.019334,            0.009804,            0.009804,            0.009804
                  68,            0.047657,            0.012789,            0.012385,             0.79054,             0.49296,             0.53934,             0.23752,            0.046505,            0.010041,            0.013821,           0.0097981,           0.0097981,           0.0097981
                  69,            0.048173,             0.01316,            0.012122,             0.71972,              0.4759,             0.48972,             0.22272,            0.046585,            0.010053,            0.016681,           0.0097921,           0.0097921,           0.0097921
                  70,            0.048295,            0.013246,            0.012077,             0.82008,             0.48287,             0.54116,             0.24544,            0.045217,            0.010026,            0.013224,            0.009786,            0.009786,            0.009786
                  71,            0.047037,            0.013341,            0.011301,             0.80474,             0.50112,              0.5337,             0.24087,            0.046689,            0.010004,            0.012007,           0.0097798,           0.0097798,           0.0097798
                  72,            0.046712,             0.01263,            0.010592,             0.86037,             0.50531,              0.5686,             0.25068,            0.045958,           0.0096068,             0.01067,           0.0097735,           0.0097735,           0.0097735
